Generator,P_min,P_max,Cost_a,Cost_b,Cost_c,Emission_coeff
G1,42,164,0.001411925917325262,7.026550915428717,245.58943534614863,0.6848135779439318
G2,41,153,0.0023374512452419287,8.009276918310043,121.58874292929286,0.32963081900701235
G3,38,104,0.001302013455215557,8.16270266613153,237.05960322317466,0.47996467081832955
G4,44,193,0.0040129848829898035,6.864243185944672,118.37417754200894,0.6900339215351268
G5,45,193,0.002089207418881198,7.563076026029026,293.0259484253993,0.24043073287131353
G6,49,156,0.004589721639275537,7.065155873238485,197.6788260129879,0.4324355514011956
G7,48,116,0.003106313866637175,5.345663930933097,130.13522154197548,0.7111047421243686
G8,41,146,0.004202999085944485,7.185826944084132,168.4767272067093,0.4423387185020743
G9,45,122,0.004915725742463845,5.486966962767761,182.6832898590523,0.24656878683886455
G10,45,178,0.004359155437826282,7.025103995401608,251.63700221530746,0.5255206211193509
G11,41,184,0.004467975040046094,7.964591999158909,248.68475721532187,0.7170454969509772
G12,36,113,0.002631937981459379,7.897074496717504,222.3881010674662,0.5541713257718959
G13,39,165,0.0032068903810373592,8.3131063950416,121.18614251169859,0.33576746492853915
G14,29,174,0.0020155542561732173,5.476307539773131,130.31387431753473,0.43054377208242883
G15,25,150,0.0017844523987738112,8.26061622765219,118.75138412911133,0.4700740167091594
G16,34,137,0.0030220315164241353,6.560740283482236,215.43455665751003,0.5475598122923162
G17,41,163,0.003380195918801682,6.995229730685555,275.4276883022808,0.655610615451568
G18,30,197,0.0023570849835847637,9.289931269613529,186.76010245095438,0.2593241705843813
G19,47,137,0.0032777740710540015,5.045152020647751,132.16963479154924,0.7337912198105399
G20,24,149,0.004549841930054012,7.9420631667030275,211.60846502979342,0.20738582180964538
G21,20,197,0.0032268863391334644,7.993569900500538,262.35044337314196,0.4220314008045532
G22,27,181,0.0038832523852420264,6.983298881717809,248.342412302586,0.2164521859835946
G23,40,129,0.00422125986943162,6.1851392855416805,276.29015593500424,0.4357845352071748
G24,47,178,0.004954915127821771,6.173370191307756,155.58041944977356,0.5154875593239943
